Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
15mm-combo-wrench,15mm Combo Wrench,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><div id=""tab-description"" class=""tab-content"">
<p class=""p1"">This wrench packs a 10mm open-ended, 15mm pedal wrench &amp; 14x15mm sockets for crank fixing bolts and axle nuts. It's constructed with CrMo steel and is the perfect wrench to keep your wheels and pedals on tight!</p>
<p class=""p1""> </p>
</div>",IceToolz,Tools,"15mm, Accessories, Essential, Essentials, Safety Gear, Tool, Tools, Tools and Maintenance, Wheelsets and Accessories, Wrench",true,Title,15mm Combo Wrench,,,,,Tool - Ice 15mm Wrench,272,shopify,1,deny,manual,10.99,,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/15mm-icetoolz-combo-wrench_1.jpeg?v=1438626126,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/15mm-icetoolz-combo-wrench_1.jpeg?v=1438626126,lb
4mm-5mm-6mm-y-wrench,4mm 5mm 6mm Y-Wrench,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This is arguably the best maintenance tool to carry as a rider. The 4mm, 5mm, 6mm Y-Wrench will tighten almost every single allen screw on your bike. It's a cycling must!</p>",Cyclone,Tools,"Accessories, Essential, Essentials, Safety Gear, Tool, Tools, Tools and Maintenance, Wrench",true,Title,Y-Wrench,,,,,Tool - Red Allen Wrench 456,113,shopify,45,deny,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/y-wrench.jpeg?v=1438626125,,false,,,,,,,,,,,,,,,,,lb
adjustable-stem,Adjustable Stem,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Ready to take your riding to another level, literally?  Our adjustable stem can help you do just that.  Compatible with all our standard bikes, the Pure Fix adjustable stem allows for the handlebars to be raised, providing a more comfortable, upright riding position.  This not only increases rider visibility, but also makes your back really, really happy.</p>",Pure Fix Cycles,Stem,"Adjustable, Alloy, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Parts, Stem, Stems",true,Color,Alloy,,,,,Stem - Adjustable - Silver,680,shopify,22,deny,manual,24.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/black_silver_1200.jpeg?v=1438626124,,false,,,,,,,,,,,,,,,,,lb
adjustable-stem,,,,,,,,Black,,,,,Stem - Adjustable - Black,680,shopify,13,deny,manual,24.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/black_1200_2.jpeg?v=1438626124,,,,,,,,,,,,,,,,,,,lb
ass-savers,Ass Savers,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p><iframe src=""https://player.vimeo.com/video/28897914?byline=0&amp;portrait=0&amp;badge=0&amp;color=ffffff"" width=""339"" height=""191""></iframe></p>
<p><b>SmartAss, an emergency fender that's there when you need it, gone when you don't.</b></p>
<p>Tired of sitting at the office with a wet ass all day just because it rained this morning? Do you live in a climate where a shower can come out of nowhere even though the sun was shining just a minute ago? Not ready to bike in a wet suit or burden your bike with fenders? Relax. It's finally here.</p>
<p>This updated version of the original Ass Saver now comes in a whopping 10 colors! It fits the Pure Fix drome &amp; comfort saddles perfectly, and also works with a wide range of other saddles!</p>",Smart Ass,Fender,"Accessories, Accessory, Black, Blue, Clear, Essential, Essentials, Fenders and Chain Guards, Green, Grey, Orange, Pink, Red, Saddles and Seatposts, Seat, Weather, Wheelsets and Accessories, White, Yellow",true,Color,Black,,,,,Fender - Ass Saver - Crazy Black,45,shopify,571,deny,manual,14.00,14.99,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0005_Ass_Saver_Black_FULL.jpeg?v=1438626119,Black,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0005_Ass_Saver_Black_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,,Blue,,,,,Fender - Ass Saver - Ballsy Blue,45,shopify,102,deny,manual,14.00,14.99,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0004_Ass_Saver_Blue_FULL.jpeg?v=1438626119,Blue,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0004_Ass_Saver_Blue_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,,Grey,,,,,Fender - Ass Saver - Mousey Grey,45,shopify,116,deny,manual,14.00,14.99,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0002_Ass_Saver_Grey_FULL.jpeg?v=1438626119,Grey,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0002_Ass_Saver_Grey_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,,Red,,,,,Fender - Ass Saver - Redrum Red,45,shopify,106,deny,manual,14.00,14.99,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0000_Ass-Saver-Red-WEB.jpeg?v=1438626119,Red,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0000_Ass-Saver-Red-WEB.jpeg?v=1438626119,lb
ass-savers,,,,,,,,Yellow,,,,,Fender - Ass Saver - Tonka Yellow,45,shopify,138,deny,manual,14.00,14.99,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0001_Ass_Saver_Yellow_FULL.jpeg?v=1438626119,Yellow,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0001_Ass_Saver_Yellow_FULL.jpeg?v=1438626119,lb
ass-savers,,,,,,,,Clear,,,,,Fender - Ass Saver - Invisibly Clear,45,shopify,101,deny,manual,14.00,14.99,true,true,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0003_Ass_Saver_Clear_FULL.jpeg?v=1438626119,Clear,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0003_Ass_Saver_Clear_FULL.jpeg?v=1438626119,lb
