Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
s14-onl-li-4184l-navy,Delicious Camisole,"<meta charset=""utf-8"">
<p>Lace trim accentuates the neckline of this lightweight Camisole by Only Hearts. 90% Nylon, 10% Lycra. Color Navy. <em>Lana is wearing a size Small. </em></p>
<p><em><em>Also available in <a href=""http://babyandco.us/products/s14-onl-li-5656-bone"">Bone</a>, <a href=""http://babyandco.us/products/s14-onl-li-3844-bronze"">Bronze</a>, and <a href=""http://babyandco.us/products/s14-onl-li-5656-black"">Black</a>.</em></em></p>
<meta charset=""utf-8"">
<p><em><em><a href=""http://babyandco.us/collections/only-hearts""><span style=""text-decoration: underline;""><em>Shop our collection of Only Hearts.</em></span></a></em></em></p>",Only Hearts,women's lingerie,"arrivals, AW15, Camisole, F14, foundation, intimates, lace, Only Hearts, S14, signature, undergarment, visible, Woman",true,COLOR,Navy,SIZE,Small,,,'30235,0,shopify,4,deny,manual,78.00,,true,true,'30235,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1101.jpeg?v=1437081385,,false,,,apparel & accessories > clothing > shirts & tops > camisoles & tank tops,female,adult,,,,,true,,,,,,,lb
s14-onl-li-4184l-navy,,,,,,,,Navy,,Medium,,,'30236,0,shopify,0,deny,manual,78.00,,true,true,'30236,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1104.jpeg?v=1437081385,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-4184l-navy,,,,,,,,Navy,,Large,,,'30237,0,shopify,0,deny,manual,78.00,,true,true,'30237,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1103.jpeg?v=1437081385,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-4184l-navy,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1105.jpeg?v=1437081385,,,,,,,,,,,,,,,,,,,
s14-onl-li-5656-black,Delicious Camisole,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""http://babyandco.us/"" target=""_blank"">Baby &amp; Company</a></em></p><p>Lace trim accentuates the neckline of this lightweight Camisole by Only Hearts. 90% Nylon, 10% Lycra. Color Black. <em>Lana is wearing a size Small. </em></p>
<p><em><em>Also available in <a href=""http://babyandco.us/products/s14-onl-li-5656-bone"">Bone</a>, <a href=""http://babyandco.us/products/s14-onl-li-3844-bronze"">Bronze</a>, and <a href=""http://babyandco.us/products/s14-onl-li-4184l-navy"">Navy</a>.</em></em></p>
<meta charset=""utf-8"">
<p><em><em><a href=""http://babyandco.us/collections/only-hearts""><span style=""text-decoration: underline;""><em>Shop our collection of Only Hearts.</em></span></a></em></em></p>",Only Hearts,women's lingerie,"arrivals, AW15, black, camisole, F14, foundation, intimates, Only Hearts, signature, top, undergarment, visible, Woman",true,COLOR,Black,SIZE,Small,,,'11897,0,shopify,4,deny,manual,78.00,,true,true,'11897,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1402.jpeg?v=1437081378,,false,,,apparel & accessories > clothing > shirts & tops > camisoles & tank tops,female,adult,,,,,true,,,,,,,lb
s14-onl-li-5656-black,,,,,,,,Black,,Large,,,'20000,0,shopify,7,deny,manual,78.00,,true,true,'20000,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1401.jpeg?v=1437081378,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-5656-black,,,,,,,,Black,,Medium,,,'23340,0,shopify,5,deny,manual,78.00,,true,true,'23340,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1403.jpeg?v=1437081378,,,,,,,,,,,,,,,,,,,lb
s14-onl-li-5656-black,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_10_18_Lana_Look1404.jpeg?v=1437081378,,,,,,,,,,,,,,,,,,,
s14-oto-br-br-41-silver,Bracelet 41 in Silver,"<meta charset=""utf-8"">
<p><span>Rustic links adorn a unisex bracelet. 1-100 jewelry gives an organic feel while maintaining an understated elegance. Varying chain-links. Hook-and-eye closure. Color Silver. 100% Sterling Silver. Made in U.S.A. </span><span><em>From Hook to Eye </em><em>Length </em></span><em>7 &amp; 1/2"", Size Large. </em><em><em>Hook to Eye </em></em><em>Length 6"", Size Small. </em></p>
<p><a href=""http://babyandco.us/collections/1-100""><em>Shop our collection of 1-100. </em></a></p>",1-100,unisex bracelets,"1-100, Accessories, arrivals, AW15, Bracelets, gift guide, jewelry, Man, mothermoon, signature, silver, spring2, visible, Woman",true,COLOR,Silver,SIZE,Small,,,'11960,0,shopify,0,deny,manual,578.00,,true,true,'11960,https://cdn.shopify.com/s/files/1/0923/8036/products/product_bracelet_1-100_bracelet41_01.jpeg?v=1437081366,,false,,,apparel & accessories > jewelry > bracelets,unisex,adult,,,,,true,,,,,,,lb
s14-oto-br-br-41-silver,,,,,,,,Silver,,Large,,,'11961,0,shopify,2,deny,manual,578.00,,true,true,'11961,https://cdn.shopify.com/s/files/1/0923/8036/products/product_bracelet_1-100_bracelet41_02_1024x1024_4cf03d97-1d41-4b58-854c-ee22b23561cb.jpeg?v=1437081366,,,,,,,,,,,,,,,,,,,lb
s14-oto-br-br-3-silver,Bracelet 3 in Silver,"<meta charset=""utf-8"">
<p><span>Rustic and lovely, 1-100 jewelry gives an organic feel while maintaining an understated elegance. Pummeled then polished, the 3 bracelet is a masterful addition. Color Silver. 100% Sterling Silver. Made in U.S.A. </span><em>Length 7"", 1 &amp; 1/2"" Wide. </em></p>",1-100,unisex bracelets,"1-100, Accessories, Bracelets, cooloff, gift guide, jewelry, last, Man, S14, silver, visible, Woman",true,COLOR,Silver,SIZE,Large,,,'11963,,shopify,1,deny,manual,938.00,,true,true,'11963,https://cdn.shopify.com/s/files/1/0923/8036/products/product_bracelet_1-100_bracelet3_01.jpeg?v=1441401623,,false,,,apparel & accessories > jewelry > bracelets,unisex,adult,,,,,true,,,,,,,lb
s14-frm-sh-s-gry-12000-no-color,Paul Shirt in Grey Flannel,"<meta charset=""utf-8"">
<p><span><span>Almost as ubiquitous as the cotton T-shirt, but, made from the finest Italian cotton, Frank &amp; Eileen shirts feature intentional wrinkling adding even more personality to a brand that takes its name from an old-fashioned love story. Comfy flannel ensures good times. Finishes include a back yoke, which flows into a center back seam. Color Grey. 100% Cotton. Made in U.S.A. <em>Addis is wearing a size Small. </em></span></span><em>Addis is 6’2”, Chest 38.5”, Waist 31”, Inseam 32”.</em></p>",Frank & Eileen,men's button-ups,"Button-ups, cyber, Frank & Eileen, grey, grey flannel, Man, mens, Plaid, S14, SALE, SALE50, shirt, tops, visible",true,COLOR,Grey Flannel,SIZE,Small,,,'12000,0,shopify,1,deny,manual,108.00,,true,true,'12000,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_01.jpeg?v=1437081354,,false,,,apparel & accessories > clothing > shirts & tops,male,adult,,,,,true,,,,,,,lb
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_02.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_04.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_03.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-frm-sh-s-gry-12000-no-color,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2014_11_3_Addis_Look6_05.jpeg?v=1437081354,,,,,,,,,,,,,,,,,,,
s14-oto-br-b-84-silver,Bracelet 84 in Silver,"<meta charset=""utf-8"">
<p><span>Curved and lovely, 1-100 jewelry gives an organic touch to understated elegance. This cuff is intentionally designed to be lacking mechanical precision assures individuality to the wearer. Color Silver. 100% Sterling Silver. Made in U.S.A. <em>Length </em></span><span><em><em>6 &amp; 1/2"", </em></em></span><em>2 &amp; 1/2"" Wide. </em></p>",1-100,unisex bracelets,"1-100, Accessories, Bracelets, cooloff, Cuff, gift guide, last, putty, S14, Silver, visible, Woman",true,COLOR,Silver,SIZE,Large,,,'12072,,shopify,1,deny,manual,998.00,,true,true,'12072,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21332.jpeg?v=1437081343,,false,,,apparel & accessories > jewelry > bracelets,unisex,adult,,,,,true,,,,,,,lb
s14-oto-br-b-84-silver,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21333.jpeg?v=1437081343,,,,,,,,,,,,,,,,,,,
s14-oto-br-b-84-silver,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21334.jpeg?v=1437081343,,,,,,,,,,,,,,,,,,,
s14-oto-br-b-84-silver,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8036/products/2015-04-20_Accessories_20_12072_21335.jpeg?v=1437081343,,,,,,,,,,,,,,,,,,,
