Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
14k-wire-bloom-earrings,14k Wire Bloom Earrings,"<div class=""product-description rte"" itemprop=""description"">Sed in metus nec dui consequat vestibulum. In varius pretium nunc, sed bibendum mauris lacinia non. Praesent vel neque ut ligula porttitor vestibulum ac eu erat. Pellentesque quis turpis odio. Etiam auctor laoreet ligula, vel aliquam urna ornare sed. Praesent laoreet diam vitae lectus molestie pulvinar.</div>
<div class=""product-description rte"" itemprop=""description"">
<ul>
<li><span>Nullam blandit</span></li>
<li><span>Vestibulum euismod</span></li>
<li><span>Nullam venenatis </span></li>
<li><span>Aenean a magna eros</span></li>
</ul>
</div>",Supply Dark,Earrings,Rose Gold,true,Title,Default Title,,,,,"",0,,-1,deny,manual,449.00,,true,true,"",https://cdn.shopify.com/s/files/1/0597/2185/products/18k-rose-gold-wire-bloom-earrings_afcace12-edfb-4c82-aba0-11462409947f.jpg?v=1406749652,,false,,,,,,,,,,,,,,,,,kg
14k-solid-bloom-earrings,14k Solid Bloom Earrings,"<div class=""product-description rte"" itemprop=""description"">Sed in metus nec dui consequat vestibulum. In varius pretium nunc, sed bibendum mauris lacinia non. Praesent vel neque ut ligula porttitor vestibulum ac eu erat. Pellentesque quis turpis odio. Etiam auctor laoreet ligula, vel aliquam urna ornare sed. Praesent laoreet diam vitae lectus molestie pulvinar.</div>
<div class=""product-description rte"" itemprop=""description"">
<ul>
<li><span>Nullam blandit</span></li>
<li><span>Vestibulum euismod</span></li>
<li><span>Nullam venenatis </span></li>
<li><span>Aenean a magna eros</span></li>
</ul>
</div>",Supply Dark,Earrings,Rose Gold,true,Title,Default Title,,,,,"",0,,1,deny,manual,489.00,529.00,true,true,"",https://cdn.shopify.com/s/files/1/0597/2185/products/18k-rose-gold-solid-bloom-earrings_35415c7b-3053-4247-a017-f60f03ade244.jpg?v=1406749643,,false,,,,,,,,,,,,,,,,,kg
14k-intertwined-earrings,14k Intertwined Earrings,"<div class=""product-description rte"" itemprop=""description"">Sed in metus nec dui consequat vestibulum. In varius pretium nunc, sed bibendum mauris lacinia non. Praesent vel neque ut ligula porttitor vestibulum ac eu erat. Pellentesque quis turpis odio. Etiam auctor laoreet ligula, vel aliquam urna ornare sed. Praesent laoreet diam vitae lectus molestie pulvinar.</div>
<div class=""product-description rte"" itemprop=""description"">
<ul>
<li><span>Nullam blandit</span></li>
<li><span>Vestibulum euismod</span></li>
<li><span>Nullam venenatis </span></li>
<li><span>Aenean a magna eros</span></li>
</ul>
</div>",Supply Dark,Earrings,Rose Gold,true,Title,Default Title,,,,,"",0,,1,deny,manual,529.00,,true,true,"",https://cdn.shopify.com/s/files/1/0597/2185/products/18k-rose-gold-intertwined-earrings_2bcb98e2-ac48-44c8-bf3a-1fddc37e936a.jpg?v=1406749634,,false,,,,,,,,,,,,,,,,,kg
14k-interlinked-earrings,14k Interlinked Earrings,"<div class=""product-description rte"" itemprop=""description"">Sed in metus nec dui consequat vestibulum. In varius pretium nunc, sed bibendum mauris lacinia non. Praesent vel neque ut ligula porttitor vestibulum ac eu erat. Pellentesque quis turpis odio. Etiam auctor laoreet ligula, vel aliquam urna ornare sed. Praesent laoreet diam vitae lectus molestie pulvinar.</div>
<div class=""product-description rte"" itemprop=""description"">
<ul>
<li><span>Nullam blandit</span></li>
<li><span>Vestibulum euismod</span></li>
<li><span>Nullam venenatis </span></li>
<li><span>Aenean a magna eros</span></li>
</ul>
</div>",Supply Dark,Earrings,White Gold,true,Title,Default Title,,,,,"",0,,1,deny,manual,329.00,,true,true,"",https://cdn.shopify.com/s/files/1/0597/2185/products/18k-white-interlinked-earrings_f954bffe-d751-48bd-903f-18b5c74e16cd.jpg?v=1406749625,,false,,,,,,,,,,,,,,,,,kg
14k-dangling-pendant-earrings-1,14k Dangling Pendant Earrings,"<div class=""product-description rte"" itemprop=""description"">Sed in metus nec dui consequat vestibulum. In varius pretium nunc, sed bibendum mauris lacinia non. Praesent vel neque ut ligula porttitor vestibulum ac eu erat. Pellentesque quis turpis odio. Etiam auctor laoreet ligula, vel aliquam urna ornare sed. Praesent laoreet diam vitae lectus molestie pulvinar.</div>
<div class=""product-description rte"" itemprop=""description"">
<ul>
<li><span>Nullam blandit</span></li>
<li><span>Vestibulum euismod</span></li>
<li><span>Nullam venenatis </span></li>
<li><span>Aenean a magna eros</span></li>
</ul>
</div>",Supply Dark,Earrings,White Gold,true,Title,Default Title,,,,,"",0,,1,deny,manual,619.00,,true,true,"",https://cdn.shopify.com/s/files/1/0597/2185/products/18k-white-gold-dangling-pendant-earrings_17e71027-81d8-4a49-a455-2e5c205963ee.jpg?v=1406749608,,false,,,,,,,,,,,,,,,,,kg
14k-dangling-pendant-earrings,14k Dangling Pendant Earrings,"<div class=""product-description rte"" itemprop=""description"">Sed in metus nec dui consequat vestibulum. In varius pretium nunc, sed bibendum mauris lacinia non. Praesent vel neque ut ligula porttitor vestibulum ac eu erat. Pellentesque quis turpis odio. Etiam auctor laoreet ligula, vel aliquam urna ornare sed. Praesent laoreet diam vitae lectus molestie pulvinar.</div>
<div class=""product-description rte"" itemprop=""description"">
<ul>
<li><span style=""line-height: 1.5;"">Nullam blandit</span></li>
<li><span style=""line-height: 1.5;"">Vestibulum euismod</span></li>
<li><span style=""line-height: 1.5;"">Nullam venenatis </span></li>
<li><span style=""line-height: 1.5;"">Aenean a magna eros</span></li>
</ul>
</div>",Supply Dark,Earrings,Rose Gold,true,Title,Default Title,,,,,"",0,,1,deny,manual,579.00,629.00,true,true,"",https://cdn.shopify.com/s/files/1/0597/2185/products/18k-rose-gold-infinite-link-earrings_d3d4fd54-7016-4f3c-b3be-66aeb5c24d5f.jpg?v=1406749599,,false,,,,,,,,,,,,,,,,,kg
14k-dangling-pendant-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0597/2185/products/18k-rose-gold-infinite-link-earrings---3_d6c3d6dc-ebd4-480c-be8a-fa7422e672d2.jpg?v=1406749600,,,,,,,,,,,,,,,,,,,
14k-dangling-pendant-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0597/2185/products/18k-rose-gold-infinite-link-earrings---4_b712d4e6-2484-4bee-96fc-74d462d8ec8d.jpg?v=1406749600,,,,,,,,,,,,,,,,,,,
14k-dangling-pendant-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0597/2185/products/18k-rose-gold-infinite-link-earrings---2_197e4e51-6b44-4e54-9244-d3666bc5b514.jpg?v=1406749601,,,,,,,,,,,,,,,,,,,
14k-dangling-obsidian-earrings,14k Dangling Obsidian Earrings,"<div class=""product-description rte"" itemprop=""description"">Sed in metus nec dui consequat vestibulum. In varius pretium nunc, sed bibendum mauris lacinia non. Praesent vel neque ut ligula porttitor vestibulum ac eu erat. Pellentesque quis turpis odio. Etiam auctor laoreet ligula, vel aliquam urna ornare sed. Praesent laoreet diam vitae lectus molestie pulvinar.</div>
<div class=""product-description rte"" itemprop=""description"">
<ul>
<li><span>Nullam blandit</span></li>
<li><span>Vestibulum euismod</span></li>
<li><span>Nullam venenatis </span></li>
<li><span>Aenean a magna eros</span></li>
</ul>
</div>",Supply Dark,Earrings,White Gold,true,Title,Default Title,,,,,"",0,,0,deny,manual,829.00,,true,true,"",https://cdn.shopify.com/s/files/1/0597/2185/products/18k-white-gold-limelight-sequin-motif-earrings_021987b9-2eaf-4a5d-9a23-d65ce13220d8.jpg?v=1406749588,,false,,,,,,,,,,,,,,,,,kg
