Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
burton-approach-under-glove-2016,Approach Under Glove,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Screen Grab® Toughgrip™ Palm for Total Touchscreen Control</li>
<li>DRYRIDE Ultrashell™ 2-Layer Fabric</li>
<li>220G Removable Fleece Liner</li>
<li>Soft Chamois Goggle Wipe</li>
<li>Ergonomic Pre-Curved Fit</li>
</ul>",Burton,Gloves,Gloves,true,Size,Medium,Color,True Black,,,"",454,shopify,4,deny,manual,54.95,,true,true,'9009518582030,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,lb
burton-approach-under-glove-2016,,,,,,,,Large,,True Black,,,"",453,shopify,4,deny,manual,54.95,,true,true,'9009518582023,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,lb
burton-approach-under-glove-2016,,,,,,,,XLarge,,True Black,,,"",453,shopify,3,deny,manual,54.95,,true,true,'9009518582054,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10350100002_1_432x720_72_RGB.jpeg?v=1445628956,lb
burton-gore-tex-under-mitt-2016,Gore-Tex Under Mitt,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Screen Grab® Toughgrip™ Palm for Total Touchscreen Control</li>
<li>DRYRIDE Durashell™ 2-Layer Fabric</li>
<li>Durably Waterproof, Windproof, and Breathable GORE-TEX® Membrane + Gore warm technology</li>
<li>Thermacore™ Insulation</li>
<li>Brushed Microfiber Fixed Lining</li>
<li>Removable, 4-Way Stretch DRYRIDE Thermex™ Liner with Sticky Icky™ Grip Palm</li>
<li>Hidden Heater/Vent Pocket</li>
<li>Ergonomic Pre-Curved Fit</li>
</ul>",Burton,Gloves,Gloves,true,Size,Small,Color,True Black,,,"",453,shopify,2,deny,manual,69.95,,true,true,'9009518598635,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,lb
burton-gore-tex-under-mitt-2016,,,,,,,,Medium,,True Black,,,"",453,shopify,3,deny,manual,69.95,,true,true,'9009518598628,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,lb
burton-gore-tex-under-mitt-2016,,,,,,,,Large,,True Black,,,"",454,shopify,3,deny,manual,69.95,,true,true,'9009518598611,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10394100002_1_1369x1800_300_RGB_large_f572a1df-457d-457b-b502-c1b3d33450e7.jpeg?v=1445628955,lb
burton-gore-tex-under-glove-2016,Gore-Tex Under Glove,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Screen Grab® Toughgrip™ Palm for Total Touchscreen Control</li>
<li>DRYRIDE Durashell™ 2-Layer Fabric</li>
<li>Durably Waterproof, Windproof, and Breathable GORE-TEX® Membrane + Gore warm technology</li>
<li>Thermacore™ Insulation</li>
<li>Brushed Microfiber Fixed Lining</li>
<li>Removable, 4-Way Stretch DRYRIDE Thermex™ Liner with Sticky Icky™ Grip Palm</li>
<li>Hidden Heater/Vent Pocket</li>
<li>Ergonomic Pre-Curved Fit</li>
</ul>",Burton,Gloves,Gloves,true,Size,Small,Color,True Black,,,"",453,shopify,2,deny,manual,69.95,,true,true,'9009518583945,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
burton-gore-tex-under-glove-2016,,,,,,,,Medium,,True Black,,,"",453,shopify,2,deny,manual,69.95,,true,true,'9009518583938,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
burton-gore-tex-under-glove-2016,,,,,,,,Large,,True Black,,,"",453,shopify,3,deny,manual,69.95,,true,true,'9009518583921,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
burton-gore-tex-under-glove-2016,,,,,,,,XLarge,,True Black,,,"",453,shopify,10,deny,manual,69.95,,true,true,'9009518583952,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/10354100002_1_466x720_72_RGB.jpeg?v=1445628954,lb
spyder-overweb-gore-tex-glove-2016,Gore-Tex Glove,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>Guaranteed to keep you Dry GORE-TEX waterproof, breathable</li>
<li>Zippered heater pack pocket</li>
<li>Over the cuff gauntlet</li>
<li>Single-handed drawcordPre-curved articulated fit</li>
<li>Adjustable wrist strap</li>
<li>Nylon Dobby Weave with XtCoating and Spylon+DWR</li>
<li>3M Thinsulate Insulation (15g)</li>
</ul>",Spyder,Gloves,Gloves,true,Size,Medium,Color,Black/Polar,,,"",454,shopify,10,deny,manual,85.00,,true,true,'889212070045,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_polar_l.jpeg?v=1445628952,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_polar_l.jpeg?v=1445628952,lb
spyder-overweb-gore-tex-glove-2016,,,,,,,,Medium,,Black/Volcano,,,"",454,shopify,10,deny,manual,85.00,,true,true,'889212070052,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_volcano_l.jpeg?v=1445628952,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_volcano_l.jpeg?v=1445628952,lb
spyder-overweb-gore-tex-glove-2016,,,,,,,,Large,,Black/Polar,,,"",454,shopify,10,deny,manual,85.00,,true,true,'889212070090,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_black_l.jpeg?v=1445628952,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_polar_l.jpeg?v=1445628952,lb
spyder-overweb-gore-tex-glove-2016,,,,,,,,Large,,Black/Black,,,"",454,shopify,10,deny,manual,85.00,,true,true,'889212104351,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_black_l.jpeg?v=1445628952,lb
spyder-overweb-gore-tex-glove-2016,,,,,,,,Large,,Black/Volcano,,,"",454,shopify,10,deny,manual,85.00,,true,true,'889212070083,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_volcano_l.jpeg?v=1445628952,lb
spyder-overweb-gore-tex-glove-2016,,,,,,,,XLarge,,Black/Polar,,,"",454,shopify,10,deny,manual,85.00,,true,true,'889212070144,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_polar_l.jpeg?v=1445628952,lb
spyder-overweb-gore-tex-glove-2016,,,,,,,,XLarge,,Black/Volcano,,,"",454,shopify,10,deny,manual,85.00,,true,true,'889212070151,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156014_black_volcano_l.jpeg?v=1445628952,lb
spyder-jaxon-glove-2016,Jaxon,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""//skiandscuba.com"" target=""_blank"">The Ski Chalet &amp; Treasure Cove Scuba</a>.</em></p><ul>
<li>All leather glove</li>
<li>Wool lining</li>
<li>Gunn cut at palm for extra fit and dexterity</li>
<li>Elasticized wrist</li>
<li>Water-Resistant Goat Skin Leather</li>
</ul>",Spyder,Gloves,Gloves,true,Size,Large,Color,Black,,,"",454,shopify,10,deny,manual,65.00,,true,true,'889212070793,https://cdn.shopify.com/s/files/1/0938/8938/products/156024001555P__PRODUCT_01--IMG_800_950-1378838314.png?v=1445628950,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/8938/products/156024001555P__PRODUCT_01--IMG_800_950-1378838314.png?v=1445628950,lb
